BedBugs,BlockedExits,BlueBinRequest,BuildingPermit,BulkHouseholdItems,CertofUseBar,CertofUseFoodStore,CertofUseRestaurant,CleanUpRqstPublicProp,ComplaintReqstGeneral,ConstDemoDebris,CornersNeedSnowRemoval,Demolition,ElectricalHazard,FaultyEquipment,FireAlarm,FireSafety,GraffitiPrivateProperty,GraffitiPublicProperty,Heating,IllegalTrashSetOut,Infestation,MedicalWasteRefused,NoSmokeDetectors,Other,OutdoorIllegalBurning,OverCapacity,OvergrownVegPublic,OvergrowthPrivateOcc,PreventativeCodeEnforce,ExteriorPropertyMaintenance,InteriorPropertyMaintenance,RepairCreekFencing,SanitationSpecialReqst,SewerBackUp,SprinklerSystem,StructuralIssues,SuppressionNotSprinkler,TenantSafetyConcerns,TrashDebrisPrivateOcc,TreeInspectProblemReq,TreeLimbStumpRemoval,UnsafeConditions,VacantHouseOpentoEntry,VacantLotOvergrown,VacantLotTrashDebris,VacantStructureHazard,VacantIllegalOccupancy,WaterShopAllComplaints,YardWaste,ZoningViolations,AllComplaints
26,,,24,,,533,343,,7,,,34,,,,55,,,,5,192,,,,,,,22,,32,6,,,,,,,,8,,,355,,,,,,,,,26
26,,,44,,,533,349,,4,,,59,,,,55,,,,5,57,,,,,,,16,,6,13,,,,,,,,8,,,355,,,,,,,,,26
5,,,15,,,533,349,,4,,,59,,,,12,,,,12,57,,,,,,,16,,7,16,,,,,,,,11,,,355,,,,,,,,,5
6,,,33,,,533,349,,7,,,21,,,,192,,,,11,57,,,,,,,16,,7,16,,,,,,,,11,,,355,,,,,,,,,6
6,,,295,,,533,349,,7,,,21,,,,82,,,,11,57,,,,,,,3,,7,8,,,,,,,,11,,,355,,,,,,,,,6
23,,,389,,,533,,,6,,,18,,,,82,,,,7,203,,,,,,,3,,14,13,,,,,,,,23,,,355,,,,,,,,,23
6,,,315,,,533,,,5,,,9,,,,82,,,,4,48,,,,,,,7,,9,7,,,,,,,,23,,,66,,,,,,,,,6
69,,,61,,,365,,,6,,,30,,,,83,,,,5,215,,,,,,,7,,8,7,,,,,,,,7,,,66,,,,,,,,,69
69,,,110,,,365,,,7,,,,,,,22,,,,12,218,,,,,,,89,,8,4,,,,,,,,11,,,66,,,,,,,,,69
69,,,431,,,63,,,6,,,,,,,22,,,,4,42,,,,,,,44,,19,4,,,,,,,,6,,,66,,,,,,,,,69
154,,,12,,,46,,,18,,,,,,,22,,,,4,17,,,,,,,23,,8,4,,,,,,,,31,,,45,,,,,,,,,154
35,,,563,,,40,,,18,,,,,,,13,,,,3,6,,,,,,,17,,15,5,,,,,,,,31,,,27,,,,,,,,,35
32,,,5,,,32,,,15,,,,,,,13,,,,9,6,,,,,,,20,,15,5,,,,,,,,6,,,31,,,,,,,,,32
88,,,54,,,14,,,11,,,,,,,4,,,,5,6,,,,,,,7,,22,4,,,,,,,,4,,,24,,,,,,,,,88
88,,,238,,,9,,,5,,,,,,,201,,,,5,27,,,,,,,26,,22,4,,,,,,,,6,,,24,,,,,,,,,88
88,,,127,,,6,,,5,,,,,,,79,,,,5,27,,,,,,,6,,5,6,,,,,,,,5,,,58,,,,,,,,,88
88,,,25,,,6,,,4,,,,,,,47,,,,5,8,,,,,,,32,,6,5,,,,,,,,5,,,58,,,,,,,,,88
86,,,59,,,6,,,4,,,,,,,78,,,,5,7,,,,,,,24,,26,5,,,,,,,,5,,,58,,,,,,,,,86
34,,,6,,,218,,,6,,,,,,,60,,,,3,24,,,,,,,10,,21,5,,,,,,,,5,,,60,,,,,,,,,34
111,,,500,,,218,,,6,,,,,,,60,,,,3,291,,,,,,,5,,18,6,,,,,,,,6,,,48,,,,,,,,,111
14,,,8,,,218,,,12,,,,,,,29,,,,3,34,,,,,,,5,,13,5,,,,,,,,6,,,14,,,,,,,,,14
14,,,8,,,218,,,12,,,,,,,29,,,,4,46,,,,,,,4,,14,5,,,,,,,,11,,,7,,,,,,,,,14
22,,,246,,,218,,,12,,,,,,,15,,,,4,43,,,,,,,105,,13,5,,,,,,,,11,,,16,,,,,,,,,22
7,,,30,,,218,,,6,,,,,,,15,,,,35,28,,,,,,,105,,12,5,,,,,,,,7,,,235,,,,,,,,,7
11,,,36,,,218,,,6,,,,,,,6,,,,35,14,,,,,,,59,,11,5,,,,,,,,7,,,235,,,,,,,,,11
11,,,36,,,218,,,6,,,,,,,28,,,,35,13,,,,,,,42,,9,5,,,,,,,,22,,,235,,,,,,,,,11
135,,,31,,,59,,,6,,,,,,,14,,,,2,69,,,,,,,57,,7,4,,,,,,,,52,,,,,,,,,,,,135
25,,,16,,,483,,,6,,,,,,,7,,,,2,69,,,,,,,130,,21,4,,,,,,,,52,,,,,,,,,,,,25
22,,,407,,,483,,,21,,,,,,,5,,,,4,21,,,,,,,106,,37,4,,,,,,,,4,,,,,,,,,,,,22
20,,,576,,,376,,,21,,,,,,,6,,,,19,32,,,,,,,112,,40,6,,,,,,,,4,,,,,,,,,,,,20
18,,,275,,,376,,,11,,,,,,,6,,,,18,32,,,,,,,112,,40,8,,,,,,,,6,,,,,,,,,,,,18
8,,,119,,,376,,,11,,,,,,,14,,,,24,28,,,,,,,88,,40,5,,,,,,,,6,,,,,,,,,,,,8
77,,,224,,,23,,,1,,,,,,,14,,,,24,462,,,,,,,78,,28,5,,,,,,,,45,,,,,,,,,,,,77
18,,,100,,,23,,,51,,,,,,,14,,,,24,412,,,,,,,78,,6,5,,,,,,,,33,,,,,,,,,,,,18
6,,,33,,,23,,,13,,,,,,,14,,,,24,18,,,,,,,66,,5,3,,,,,,,,33,,,,,,,,,,,,6
